"datetime","core.temp"
0018-09-01 09:11:00,36.5
0018-09-01 09:16:00,36.6
0018-09-01 09:21:00,36.6
0018-09-01 09:26:00,36.6
0018-09-01 09:31:00,36.7
0018-09-01 09:36:00,36.8
0018-09-01 09:41:00,36.8
0018-09-01 09:46:00,36.9
0018-09-01 09:51:00,37
0018-09-01 09:56:00,37
0018-09-01 10:01:00,37
0018-09-01 10:06:00,37.1
0018-09-01 10:11:00,37
0018-09-01 10:16:00,37
0018-09-01 10:21:00,36.9
0018-09-01 10:26:00,36.9
0018-09-01 10:31:00,36.8
0018-09-01 10:36:00,36.9
0018-09-01 10:41:00,36.8
0018-09-01 10:46:00,36.9
0018-09-01 10:51:00,36.7
0018-09-01 10:56:00,36.7
0018-09-01 11:01:00,36.8
0018-09-01 11:06:00,36.8
0018-09-01 11:11:00,36.9
0018-09-01 11:16:00,37
0018-09-01 11:21:00,37.1
0018-09-01 11:26:00,37.2
0018-09-01 11:31:00,37.3
0018-09-01 11:36:00,37.2
0018-09-01 11:41:00,37.2
0018-09-01 11:46:00,37.2
0018-09-01 11:51:00,37.2
0018-09-01 11:56:00,37.1
0018-09-01 12:01:00,37.1
0018-09-01 12:06:00,37.1
0018-09-01 12:11:00,37
0018-09-01 12:16:00,37.1
0018-09-01 12:21:00,37
0018-09-01 12:26:00,37
0018-09-01 12:31:00,37
0018-09-01 12:36:00,37
0018-09-01 12:41:00,36.9
0018-09-01 12:46:00,36.9
0018-09-01 12:51:00,36.9
0018-09-01 12:56:00,36.9
0018-09-01 13:01:00,36.8
0018-09-01 13:06:00,36.8
0018-09-01 13:11:00,36.7
0018-09-01 13:16:00,36.8
0018-09-01 13:21:00,36.9
0018-09-01 13:26:00,36.8
0018-09-01 13:31:00,36.7
0018-09-01 13:36:00,36.7
0018-09-01 13:41:00,36.7
0018-09-01 13:46:00,36.8
0018-09-01 13:51:00,36.8
0018-09-01 13:56:00,36.7
0018-09-01 14:01:00,36.6
0018-09-01 14:06:00,36.9
0018-09-01 14:11:00,37.2
0018-09-01 14:16:00,37.1
0018-09-01 14:21:00,37
0018-09-01 14:26:00,37
0018-09-01 14:31:00,37
0018-09-01 14:36:00,37.2
0018-09-01 14:41:00,37.1
0018-09-01 14:46:00,37.1
0018-09-01 14:51:00,37.1
0018-09-01 14:56:00,37
0018-09-01 15:01:00,37
0018-09-01 15:06:00,37
0018-09-01 15:11:00,37
0018-09-01 15:16:00,37
0018-09-01 15:21:00,36.9
0018-09-01 15:26:00,37
0018-09-01 15:31:00,36.9
0018-09-01 15:36:00,36.9
0018-09-01 15:41:00,36.9
0018-09-01 15:46:00,36.9
0018-09-01 15:51:00,36.9
0018-09-01 15:56:00,36.9
0018-09-01 16:01:00,36.9
0018-09-01 16:06:00,36.9
0018-09-01 16:11:00,36.9
0018-09-01 16:16:00,36.9
0018-09-01 16:21:00,36.9
0018-09-01 16:26:00,36.9
0018-09-01 16:31:00,36.9
0018-09-01 16:36:00,36.9
0018-09-01 16:41:00,36.9
0018-09-01 16:46:00,36.9
0018-09-01 16:51:00,36.9
0018-09-01 16:56:00,36.8
0018-09-01 17:01:00,36.8
0018-09-01 17:06:00,36.8
0018-09-01 17:11:00,36.8
0018-09-01 17:16:00,36.9
0018-09-01 17:21:00,36.9
0018-09-01 17:26:00,36.9
0018-09-01 17:31:00,36.9
0018-09-01 17:36:00,36.9
0018-09-01 17:41:00,36.9
0018-09-01 17:46:00,36.7
0018-09-01 17:51:00,36.7
0018-09-01 17:56:00,36.7
0018-09-01 18:01:00,36.7
0018-09-01 18:06:00,36.8
0018-09-01 18:11:00,37
0018-09-01 18:16:00,37
0018-09-01 18:21:00,37
0018-09-01 18:26:00,37
0018-09-01 18:31:00,37
0018-09-01 18:36:00,37
0018-09-01 18:41:00,37
0018-09-01 18:46:00,37.1
0018-09-01 18:51:00,37.2
0018-09-01 18:56:00,37.2
0018-09-01 19:01:00,37.1
0018-09-01 19:06:00,37.1
0018-09-01 19:11:00,37.1
0018-09-01 19:16:00,37.1
0018-09-01 19:21:00,37.1
0018-09-01 19:26:00,37
0018-09-01 19:31:00,37
0018-09-01 19:36:00,36.9
0018-09-01 19:41:00,37
0018-09-01 19:46:00,37
0018-09-01 19:51:00,37.1
0018-09-01 19:56:00,37.2
0018-09-01 20:01:00,37.1
0018-09-01 20:06:00,37.3
0018-09-01 20:11:00,37.5
0018-09-01 20:16:00,37.5
0018-09-01 20:21:00,37.4
0018-09-01 20:26:00,37.3
0018-09-01 20:31:00,37.1
0018-09-01 20:36:00,37.2
0018-09-01 20:41:00,37.2
0018-09-01 20:46:00,37.3
0018-09-01 20:51:00,37.3
0018-09-01 20:56:00,37.3
0018-09-01 21:01:00,37.3
0018-09-01 21:06:00,37.3
0018-09-01 21:11:00,37.1
0018-09-01 21:16:00,37.1
0018-09-01 21:21:00,37
0018-09-01 21:26:00,37.1
0018-09-01 21:31:00,37.1
0018-09-01 21:36:00,37
0018-09-01 21:41:00,36.7
0018-09-01 21:46:00,36.6
0018-09-01 21:51:00,36.6
0018-09-01 21:56:00,36.6
0018-09-01 22:01:00,36.6
0018-09-01 22:06:00,36.6
0018-09-01 22:11:00,36.6
0018-09-01 22:16:00,36.7
0018-09-01 22:21:00,36.7
0018-09-01 22:26:00,36.7
0018-09-01 22:31:00,36.7
0018-09-01 22:36:00,36.6
0018-09-01 22:41:00,36.6
0018-09-01 22:46:00,36.6
0018-09-01 22:51:00,36.6
0018-09-01 22:56:00,36.6
0018-09-01 23:01:00,36.6
0018-09-01 23:06:00,36.6
0018-09-01 23:11:00,36.6
0018-09-01 23:16:00,36.6
0018-09-01 23:21:00,36.6
0018-09-01 23:26:00,36.6
0018-09-01 23:31:00,36.6
0018-09-01 23:36:00,36.5
0018-09-01 23:41:00,36.5
0018-09-01 23:46:00,36.5
