"datetime","chest.temp","chest.activity"
2018-05-10 19:49:00,30.102,85.2
2018-05-10 19:54:00,30.394,34.8
2018-05-10 19:59:00,30.718,57.6
2018-05-10 20:04:00,30.922,87.6
2018-05-10 20:09:00,31.022,54.8
2018-05-10 20:14:00,31.078,116
2018-05-10 20:19:00,31.126,149.8
2018-05-10 20:24:00,31.166,97
2018-05-10 20:29:00,31.27,57.6
2018-05-10 20:34:00,31.366,29.2
2018-05-10 20:39:00,31.462,18.4
2018-05-10 20:44:00,31.574,37.2
2018-05-10 20:49:00,31.622,10.4
2018-05-10 20:54:00,31.658,26.4
2018-05-10 20:59:00,31.786,10.8
2018-05-10 21:04:00,31.938,18.4
2018-05-10 21:09:00,32.078,18.8
2018-05-10 21:14:00,32.294,6
2018-05-10 21:19:00,32.394,7.6
2018-05-10 21:24:00,32.522,16.8
2018-05-10 21:29:00,32.762,8.4
2018-05-10 21:34:00,32.97,6.4
2018-05-10 21:39:00,33.174,11.6
2018-05-10 21:44:00,33.362,28.4
2018-05-10 21:49:00,33.586,7.2
2018-05-10 21:54:00,33.698,21.4
2018-05-10 21:59:00,33.842,38.2
2018-05-10 22:04:00,34.018,32
2018-05-10 22:09:00,34.098,41.4
2018-05-10 22:14:00,34.278,54.4
2018-05-10 22:19:00,34.426,36
2018-05-10 22:24:00,34.566,44
2018-05-10 22:29:00,34.61,26.4
2018-05-10 22:34:00,34.766,44.8
2018-05-10 22:39:00,34.998,57.8
2018-05-10 22:44:00,35.05,186
2018-05-10 22:49:00,34.99,151
2018-05-10 22:54:00,34.986,34
2018-05-10 22:59:00,35.506,0.8
2018-05-10 23:04:00,35.886,0.4
2018-05-10 23:09:00,36.114,8.8
2018-05-10 23:14:00,36.322,0
2018-05-10 23:19:00,36.47,0.4
2018-05-10 23:24:00,36.55,27.2
2018-05-10 23:29:00,36.242,0.4
2018-05-10 23:34:00,36.046,0
2018-05-10 23:39:00,35.93,6.8
2018-05-10 23:44:00,35.986,0
2018-05-10 23:49:00,36.242,0
2018-05-10 23:54:00,36.386,1.6
2018-05-10 23:59:00,36.614,0.4
2018-05-11 00:04:00,36.638,6.4
2018-05-11 00:09:00,36.606,4.4
2018-05-11 00:14:00,36.702,0.8
2018-05-11 00:19:00,36.742,5.6
2018-05-11 00:24:00,36.806,32
2018-05-11 00:29:00,36.902,18.4
2018-05-11 00:34:00,36.926,2.4
2018-05-11 00:39:00,36.966,38.6
2018-05-11 00:44:00,36.502,30.6
2018-05-11 00:49:00,36.086,0
2018-05-11 00:54:00,36.198,0.4
2018-05-11 00:59:00,36.314,18.4
2018-05-11 01:04:00,36.466,2
2018-05-11 01:09:00,36.446,0.8
2018-05-11 01:14:00,36.406,37
2018-05-11 01:19:00,36.258,12.6
2018-05-11 01:24:00,36.338,11.2
2018-05-11 01:29:00,36.358,6.8
2018-05-11 01:34:00,36.282,0.8
2018-05-11 01:39:00,36.298,0.4
2018-05-11 01:44:00,36.282,0.4
2018-05-11 01:49:00,36.258,8.8
2018-05-11 01:54:00,36.242,0
2018-05-11 01:59:00,36.258,17.6
2018-05-11 02:04:00,36.518,1.6
2018-05-11 02:09:00,36.742,0
2018-05-11 02:14:00,36.87,8
2018-05-11 02:19:00,36.838,2
2018-05-11 02:24:00,36.87,0.8
2018-05-11 02:29:00,36.902,0
2018-05-11 02:34:00,36.95,0
2018-05-11 02:39:00,36.982,2.8
2018-05-11 02:44:00,36.83,26.4
2018-05-11 02:49:00,36.154,0
2018-05-11 02:54:00,35.806,0
2018-05-11 02:59:00,35.59,0.4
2018-05-11 03:04:00,35.462,0.4
2018-05-11 03:09:00,35.49,25.2
2018-05-11 03:14:00,35.778,13.6
2018-05-11 03:19:00,36.006,16.8
2018-05-11 03:24:00,36.21,0.8
2018-05-11 03:29:00,36.486,2
2018-05-11 03:34:00,36.614,0
2018-05-11 03:39:00,36.71,24.8
2018-05-11 03:44:00,36.486,13.2
2018-05-11 03:49:00,36.282,0.4
2018-05-11 03:54:00,36.074,14.4
2018-05-11 03:59:00,35.982,14.4
2018-05-11 04:04:00,36.114,0
2018-05-11 04:09:00,36.386,0.8
2018-05-11 04:14:00,36.558,8.4
2018-05-11 04:19:00,36.418,13.6
2018-05-11 04:24:00,36.122,7.6
2018-05-11 04:29:00,35.666,7.2
2018-05-11 04:34:00,35.538,10.4
2018-05-11 04:39:00,36.01,0
2018-05-11 04:44:00,36.326,0
2018-05-11 04:49:00,36.458,0.8
2018-05-11 04:54:00,36.686,1.2
2018-05-11 04:59:00,36.854,0
2018-05-11 05:04:00,36.678,1.2
2018-05-11 05:09:00,36.582,0.8
2018-05-11 05:14:00,36.582,0.4
2018-05-11 05:19:00,36.582,5.6
2018-05-11 05:24:00,36.67,2
2018-05-11 05:29:00,36.678,5.2
2018-05-11 05:34:00,36.314,6
2018-05-11 05:39:00,35.89,1.2
2018-05-11 05:44:00,35.446,7.2
2018-05-11 05:49:00,35.522,2.4
2018-05-11 05:54:00,36.178,0
2018-05-11 05:59:00,36.314,125.2
2018-05-11 06:04:00,35.922,161.4
2018-05-11 06:09:00,35.578,50.6
2018-05-11 06:14:00,35.39,16
2018-05-11 06:19:00,35.342,18.4
2018-05-11 06:24:00,35.306,4.4
2018-05-11 06:29:00,35.33,15.6
2018-05-11 06:34:00,35.43,127
2018-05-11 06:39:00,35.258,82.4
2018-05-11 06:44:00,34.974,124.6
2018-05-11 06:49:00,34.762,181
2018-05-11 06:54:00,34.658,164.2
2018-05-11 06:59:00,34.582,201
2018-05-11 07:04:00,34.39,152.2
2018-05-11 07:09:00,34.162,93.6
2018-05-11 07:14:00,34.334,25.6
2018-05-11 07:19:00,34.406,23.6
2018-05-11 07:24:00,34.502,18.8
2018-05-11 07:29:00,34.57,4.4
2018-05-11 07:34:00,34.674,8.8
2018-05-11 07:39:00,34.834,22.4
2018-05-11 07:44:00,34.858,1.6
2018-05-11 07:49:00,34.874,13.6
2018-05-11 07:54:00,34.81,36.6
2018-05-11 07:59:00,34.514,85.6
2018-05-11 08:04:00,34.558,34
2018-05-11 08:09:00,34.53,6
2018-05-11 08:14:00,34.446,150.8
2018-05-11 08:19:00,34.074,233.4
2018-05-11 08:24:00,33.55,240
2018-05-11 08:29:00,33.226,237
2018-05-11 08:34:00,33.158,236.2
2018-05-11 08:39:00,33.246,172
2018-05-11 08:44:00,32.938,181.4
2018-05-11 08:49:00,32.458,62.2
2018-05-11 08:54:00,32.562,6.8
2018-05-11 08:59:00,32.762,8.8
2018-05-11 09:04:00,32.97,12.4
2018-05-11 09:09:00,33.206,93.6
2018-05-11 09:14:00,33.126,154.2
2018-05-11 09:19:00,32.69,231.8
2018-05-11 09:24:00,32.41,222.8
2018-05-11 09:29:00,32.102,268
2018-05-11 09:34:00,32.07,228
2018-05-11 09:39:00,31.842,132.8
2018-05-11 09:44:00,31.822,162.4
2018-05-11 09:49:00,31.778,124.4
2018-05-11 09:54:00,31.574,174.4
2018-05-11 09:59:00,31.502,163.6
2018-05-11 10:04:00,31.722,123.2
2018-05-11 10:09:00,31.57,56.2
2018-05-11 10:14:00,31.526,122.8
2018-05-11 10:19:00,31.446,157.6
2018-05-11 10:24:00,31.502,136
2018-05-11 10:29:00,31.586,141.8
2018-05-11 10:34:00,31.582,174.2
2018-05-11 10:39:00,31.89,247.4
2018-05-11 10:44:00,31.978,173.4
2018-05-11 10:49:00,32.046,168.4
2018-05-11 10:54:00,31.974,114
2018-05-11 10:59:00,32.042,112.8
