"datetime","core.temp"
0018-01-27 09:10:00,36.4
0018-01-27 09:15:00,37
0018-01-27 09:20:00,37.2
0018-01-27 09:25:00,37.2
0018-01-27 09:30:00,37.2
0018-01-27 09:35:00,37.2
0018-01-27 09:40:00,37.3
0018-01-27 09:45:00,37.2
0018-01-27 09:50:00,37.2
0018-01-27 09:55:00,37.2
0018-01-27 10:00:00,37.2
0018-01-27 10:05:00,37.3
0018-01-27 10:10:00,37.3
0018-01-27 10:15:00,37.4
0018-01-27 10:20:00,37.3
0018-01-27 10:25:00,37.4
0018-01-27 10:30:00,37.6
0018-01-27 10:35:00,37.7
0018-01-27 10:40:00,37.5
0018-01-27 10:45:00,37.5
0018-01-27 10:50:00,37.4
0018-01-27 10:55:00,37.2
0018-01-27 11:00:00,37.2
0018-01-27 11:05:00,37.3
0018-01-27 11:10:00,37.2
0018-01-27 11:15:00,37.3
0018-01-27 11:20:00,37.4
0018-01-27 11:25:00,37.4
0018-01-27 11:30:00,37.4
0018-01-27 11:35:00,37.4
0018-01-27 11:40:00,37.4
0018-01-27 11:45:00,37.5
0018-01-27 11:50:00,37.5
0018-01-27 11:55:00,37.6
0018-01-27 12:00:00,37.5
0018-01-27 12:05:00,37.5
0018-01-27 12:10:00,37.6
0018-01-27 12:15:00,37.3
0018-01-27 12:20:00,37.7
0018-01-27 12:25:00,37.6
0018-01-27 12:30:00,37.5
0018-01-27 12:35:00,37.5
0018-01-27 12:40:00,37.4
0018-01-27 12:45:00,37.4
0018-01-27 12:50:00,37.5
0018-01-27 12:55:00,37.5
0018-01-27 13:00:00,37.4
0018-01-27 13:05:00,37.5
0018-01-27 13:10:00,37.7
0018-01-27 13:15:00,37.6
0018-01-27 13:20:00,37.5
0018-01-27 13:25:00,37.6
0018-01-27 13:30:00,37.7
0018-01-27 13:35:00,37.6
0018-01-27 13:40:00,37.5
0018-01-27 13:45:00,37.4
0018-01-27 13:50:00,37.2
0018-01-27 13:55:00,37.2
0018-01-27 14:00:00,37.2
0018-01-27 14:05:00,37.4
0018-01-27 14:10:00,37.3
0018-01-27 14:15:00,37.3
0018-01-27 14:20:00,37.2
0018-01-27 14:25:00,37.3
0018-01-27 14:30:00,37.4
0018-01-27 14:35:00,37.7
0018-01-27 14:40:00,37.7
0018-01-27 14:45:00,37.9
0018-01-27 14:50:00,38
0018-01-27 14:55:00,38
0018-01-27 15:00:00,38
0018-01-27 15:05:00,38
0018-01-27 15:10:00,38
0018-01-27 15:15:00,38
0018-01-27 15:20:00,38
0018-01-27 15:25:00,38.1
0018-01-27 15:30:00,38.1
0018-01-27 15:35:00,38
0018-01-27 15:40:00,38
0018-01-27 15:45:00,38
0018-01-27 15:50:00,38
0018-01-27 15:55:00,37.9
0018-01-27 16:00:00,37.8
0018-01-27 16:05:00,37.7
0018-01-27 16:10:00,37.7
0018-01-27 16:15:00,37.7
0018-01-27 16:20:00,37.8
0018-01-27 16:25:00,37.8
0018-01-27 16:30:00,37.8
0018-01-27 16:35:00,37.7
